Título,URL_Foto,Precio_de_Venta,Área_construida,Habitaciones,Baños
"Apartamento en Venta, Villa Carolina, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-villa-carolina-3-habitaciones-3-banos-1-garajes/1265-3363187,$270.000.000,86 m²,3,3
"Lote o Casalote en Venta, LAS NIEVES, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-lote-o-casalote-barranquilla-rebolo/9851-100631,$750.000.000,200 m²,,
"Apartamento en Venta, Villa Santos, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-villa-santos-2-habitaciones-2-banos-1-garajes/1265-3387159,$210.000.000,63 m²,2,2
"Apartamento en Venta, Paraiso, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-paraiso-2-habitaciones-2-banos-1-garajes/10959-534,$238.176.000,66.31 m²,2,2
"Apartamento en Venta, Paraiso, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-paraiso-2-habitaciones-2-banos-1-garajes/10959-533,$238.176.000,66.16 m²,2,2
"Apartamento en Venta y Arriendo, VILLA SANTOS, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-villa-santos-3-habitaciones-3-banos-1-garajes/9851-101144,$450.000.000,123 m²,3,3
"Apartamento en Venta y Arriendo, ALAMEDA DEL RIO, Barranqu…",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-alameda-del-rio-2-habitaciones-2-banos/671-83225,$210.000.000,45 m²,2,2
"Apartamento en Venta, Altos de Riomar, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-villa-santos-3-habitaciones-3-banos-2-garajes/2398-22589,$650.000.000,145 m²,3,3
"Apartamento en Venta, Paraiso, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-paraiso-3-habitaciones-2-banos-1-garajes/10959-530,$302.724.000,84.09 m²,3,2
"Apartamento en Venta, Alto Prado, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-el-prado-3-habitaciones-2-banos-2-garajes/9851-101143,$370.000.000,145 m²,3,2
"Apartamento en Venta, El Golf, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-prado-4-habitaciones-5-banos-2-garajes/2230-6863,$1.500.000.000,370 m²,4,5
"Casa en Venta, El Prado, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-el-prado/2230-6642,$2.300.000.000,707 m²,,
"Casa en Venta, San Vicente, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-san-vicente-5-habitaciones-4-banos-1-garajes/130-3175,$900.000.000,394 m²,5,4
"Apartamento en Venta, Betania, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-ciudad-jardin-3-habitaciones-2-banos-1-garajes/9851-100634,$265.000.000,75 m²,3,2
"Apartamento en Venta, ALTOS DEL PRADO, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-prado-3-habitaciones-3-banos-3-garajes/10338-1363123,$1.200.000.000,372 m²,3,3
"Apartamento en Venta y Arriendo, ALTAMIRA, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altamira-2-habitaciones-3-banos-1-garajes/7515-1590491,$280.000.000,64 m²,2,3
"Apartamento en Venta y Arriendo, Riomar, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-de-riomar-4-habitaciones-4-banos-2-garajes/130-3460,$595.000.000,250 m²,4,4
"Apartamento en Venta, BOSTON, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-boston-3-habitaciones-2-banos-1-garajes/11832-M2727432,$240.000.000,88 m²,3,2
