Título,URL_Foto,Precio_de_Venta,Área_construida,Habitaciones,Baños
"Casa en Venta, Paraiso, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-las-tres-avemarias-5-habitaciones-4-banos/11325-1216132,$300.000.001,224 m²,5,4
"Apartamento en Venta, Altos de Riomar, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-limon-3-habitaciones-5-banos-2-garajes/11325-1283995,$550.000.001,180 m²,3,5
"Casa en Venta, Nuevo Horizonte, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-nuevo-horizonte-3-habitaciones-3-banos-1-garajes/11325-1206723,$900.000.001,350 m²,3,3
"Apartamento en Venta, VILLA CAMPESTRE, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-villa-campestre-3-habitaciones-3-banos-2-garajes/11832-M2841133,$700.000.000,216 m²,3,3
"Apartamento en Venta y Arriendo, VILLA CAROLINA, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-villa-carolina-3-habitaciones-2-banos-1-garajes/710-M2841177,$280.000.000,80 m²,3,2
"Apartamento en Venta, Altos de Riomar, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-de-riomar-3-habitaciones-2-banos/2398-22582,$200.000.000,74 m²,3,2
"Casa en Venta y Arriendo, Villa Santos, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-villa-santos-3-habitaciones-5-banos-3-garajes/1265-3701572,$730.000.000,227 m²,3,5
"Apartamento en Venta, GRANADILLO, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-granadillo-3-habitaciones-3-banos-1-garajes/11328-M2690121,$390.000.000,120 m²,3,3
"Apartamento en Venta, VILLA COUNTRY, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-villa-country-3-habitaciones-5-banos-2-garajes/2969-3597,$980.000.000,231 m²,3,5
"Apartamento en Venta, BOSTON, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-boston-3-habitaciones-2-banos-1-garajes/147-M2152739,$250.000.000,86 m²,3,2
"Casa en Venta, VILLA SANTOS, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-villa-santos-4-habitaciones-5-banos-4-garajes/462-M2711460,$2.700.000.000,684 m²,4,5
"Apartamento en Venta y Arriendo, El Porvenir, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-el-porvenir-3-habitaciones-2-banos-1-garajes/2398-21928,$200.000.000,104 m²,3,2
"Casa en Venta, Altos de Riomar, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-ub.-altos-de-parque-3-habitaciones-4-banos-1-garajes/2398-21454,$500.000.000,137 m²,3,4
"Casa en Venta y Arriendo, Alto Prado, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-el-porvenir-5-habitaciones-4-banos/2398-20645,$1.300.000.000,468 m²,5,4
"Apartamento en Venta y Arriendo, El Poblado, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altamira-1-habitaciones-2-banos-1-garajes/2398-21539,$280.000.000,62 m²,1,2
"Apartamento en Venta, La Concepción, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-la-concepcion-3-habitaciones-2-banos-1-garajes/2398-22220,$220.000.000,82 m²,3,2
"Lote o Casalote en Venta y Arriendo, El Porvenir, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-lote-o-casalote-barranquilla-el-porvenir/2969-3550,$800.000.000,203 m²,,
"Apartamento en Venta, Alto Prado, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-prado-3-habitaciones-4-banos-2-garajes/9851-13050,$1.300.000.000,360 m²,3,4
"Apartamento en Venta, MIRAMAR, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-miramar-3-habitaciones-2-banos-1-garajes/11295-M2619682,$253.000.000,121 m²,3,2
"Apartamento en Venta, Ciudad Jardín, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-ciudad-jardin-4-habitaciones-4-banos-1-garajes/130-3093,$395.000.000,191 m²,4,4
"Apartamento en Venta, Paraíso, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-paraiso-3-habitaciones-3-banos-1-garajes/130-2782,$1.200.000.000,0 m²,3,3
"Apartamento en Venta, Alto Prado, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-prado-3-habitaciones-3-banos-2-garajes/2969-4303,$620.000.000,240 m²,3,3
"Apartamento en Venta, VILLA CAMPESTRE, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-zona-franca-industrial-3-habitaciones-2-banos-2-garajes/671-82827,$350.000.000,79 m²,3,2
"Apartamento en Venta y Arriendo, CIUDADELA 20 DE JULIO, Ba…",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-ciudadela-veinte-de-julio-3-habitaciones-1-banos/671-82693,$280.000.000,72 m²,3,1
"Apartamento en Venta, GOLF, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-prado-3-habitaciones-3-banos-1-garajes/671-79688,$1.200.000.000,290 m²,3,3
"Apartamento en Venta, Prado, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-el-prado-3-habitaciones-2-banos-1-garajes/671-82697,$350.000.000,139 m²,3,2
"Casa en Venta, VILLA CAROLINA, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-villa-carolina-3-habitaciones-2-banos/671-82379,$480.000.000,96 m²,3,2
"Apartamento en Venta, ANDALUCIA, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-andalucia-2-habitaciones-2-banos-1-garajes/671-81088,$295.000.000,81 m²,2,2
"Apartamento en Venta, MIRAMAR, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-miramar-3-habitaciones-3-banos-1-garajes/411-M2505051,$330.000.000,82.49 m²,3,3
"Apartamento en Venta, SALGAR, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-la-luz-3-habitaciones-2-banos-1-garajes/671-82822,$430.000.000,98 m²,3,2
"Apartamento en Venta, EL PRADO, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-el-prado-4-habitaciones-3-banos-2-garajes/10926-2892475,$3.343.200.000,1194 m²,4,3
"Casa en Venta, Nuevo Horizonte, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-nuevo-horizonte-3-habitaciones-2-banos-2-garajes/9851-100044,$420.000.000,127 m²,3,2
"Casa en Venta, VILLA CAMPESTRE, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-conjunto-residencial-villa-campestre-3-habitaciones-3-banos-2-garajes/10365-M2755110,$530.000.000,159 m²,3,3
"Apartamento en Venta, Alto Prado, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-prado-2-habitaciones-3-banos-2-garajes/10338-3398663,$780.000.000,153 m²,2,3
"Apartamento en Venta, Villa Carolina, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-villa-carolina-3-habitaciones-2-banos-1-garajes/9851-100528,$280.000.000,80 m²,3,2
"Casa en Venta, VILLA CAMPESTRE, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-conjunto-residencial-villa-campestre-3-habitaciones-4-banos-2-garajes/9851-13049,$1.450.000.000,330 m²,3,4
"Apartamento en Venta, El Golf, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-riomar-3-habitaciones-4-banos-3-garajes/9851-13053,$750.000.000,239 m²,3,4
"Apartamento en Venta, ANDALUCIA, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-andalucia-2-habitaciones-2-banos-2-garajes/11328-M2755152,$310.000.000,84 m²,2,2
"Casa en Venta, VILLA SANTOS, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-villa-santos-4-habitaciones-5-banos-4-garajes/462-M2817985,$2.700.000.000,684 m²,4,5
"Apartamento en Venta, Andalucía, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-el-limoncito-3-habitaciones-2-banos/2398-22598,$230.000.000,92 m²,3,2
"Apartamento en Venta, VILLA COUNTRY, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-villa-country-3-habitaciones-4-banos-1-garajes/671-64753,$370.000.000,150 m²,3,4
"Casa en Venta, VILLA CAROLINA, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-villa-carolina-3-habitaciones-3-banos-1-garajes/130-1368,$315.000.000,94 m²,3,3
"Apartamento en Venta, Villa Carolina, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-villa-carolina-3-habitaciones-2-banos-1-garajes/2398-17560,$185.000.000,77 m²,3,2
"Apartamento en Venta, VILLA SANTOS, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-villa-santos-3-habitaciones-4-banos-2-garajes/2398-19248,$440.000.000,234 m²,3,4
"Apartamento en Venta, ALTO PRADO, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-prado-3-habitaciones-3-banos-2-garajes/2171-13580M2,$750.000.000,210 m²,3,3
"Apartamento en Venta y Arriendo, ALTO PRADO, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-prado-1-habitaciones-1-banos-1-garajes/671-79725,$230.000.000,35 m²,1,1
"Apartamento en Venta, CONCEPCION, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-la-concepcion-3-habitaciones-2-banos-1-garajes/671-78826,$230.000.000,64 m²,3,2
"Apartamento en Venta, ALTO PRADO, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-prado-3-habitaciones-4-banos-2-garajes/671-78823,$550.000.000,210 m²,3,4
"Apartamento en Venta, Miramar, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-el-tabor-3-habitaciones-2-banos-1-garajes/671-69072,$280.000.000,99 m²,3,2
"Apartamento en Venta, Altamira, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altamira-1-habitaciones-2-banos-1-garajes/2969-4258,$240.000.000,54 m²,1,2
"Apartamento en Venta, Altos de Riomar, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-limon-3-habitaciones-2-banos-2-garajes/2969-2118,$559.000.000,130 m²,3,2
"Apartamento en Venta, Alto Prado, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-riomar-3-habitaciones-4-banos-2-garajes/2969-4027,$1.300.000.000,210 m²,3,4
"Casa en Venta y Arriendo, San Vicente, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-san-vicente-1-habitaciones/2969-1448,$3.000.000.000,600 m²,1,
"Apartamento en Venta, VILLA COUNTRY, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-villa-country-3-habitaciones-3-banos-2-garajes/2171-13457M1,$720.000.000,178 m²,3,3
"Apartamento en Venta, GRANADILLO, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-granadillo-2-habitaciones-2-banos-1-garajes/2171-13309M1,$260.000.000,89 m²,2,2
"Casa en Venta, VILLA COUNTRY, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-la-concepcion-3-habitaciones-2-banos/2171-11843M2,$700.000.000,166 m²,3,2
"Casa en Venta, El Silencio, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-el-silencio-5-habitaciones-5-banos-1-garajes/130-2117,$450.000.000,243 m²,5,5
"Apartamento en Venta, El Recreo, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-el-recreo-4-habitaciones-3-banos/130-2118,$310.000.000,145 m²,4,3
"Apartamento en Venta, Alto Prado, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-prado-3-habitaciones-4-banos-3-garajes/9851-11460,$920.000.000,330 m²,3,4
"Apartamento en Venta, EL PRADO, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-el-prado-3-habitaciones-2-banos-1-garajes/9851-8175,$330.000.000,170 m²,3,2
"Apartamento en Venta, VILLA COUNTRY, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-villa-country-3-habitaciones-5-banos-2-garajes/130-1280,$450.000.000,160 m²,3,5
"Apartamento en Venta, Altos de Riomar, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-de-riomar-3-habitaciones-3-banos-1-garajes/130-1630,$290.000.000,137 m²,3,3
"Apartamento en Venta, El Prado, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-el-prado-2-habitaciones-2-banos-1-garajes/2230-6769,$220.000.000,83 m²,2,2
"Casa en Venta, Los Nogales, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-los-nogales-4-habitaciones-5-banos-1-garajes/130-2783,$650.000.000,275 m²,4,5
"Lote o Casalote en Venta, EL BOSQUE, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-lote-o-casalote-barranquilla-el-bosque/11295-M2619693,$454.700.000,270 m²,,
"Casa en Venta y Arriendo, Bellavista, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-bellavista-4-habitaciones-4-banos-2-garajes/130-2781,$780.000.000,433 m²,4,4
"Apartamento en Venta, VILLA CAROLINA, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-villa-carolina-3-habitaciones-2-banos-1-garajes/9851-100435,$200.000.000,70 m²,3,2
"Casa en Venta, VILLA CAMPESTRE, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-conjunto-residencial-villa-campestre-3-habitaciones-4-banos-2-garajes/9851-100530,$1.380.000.000,248 m²,3,4
"Apartamento en Venta, El Tabor, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-el-tabor-2-habitaciones-2-banos-1-garajes/11295-M2619683,$282.000.000,73 m²,2,2
"Casa en Venta, CONCEPCION, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-la-concepcion-4-habitaciones-4-banos-2-garajes/9877-M2711494,$650.000.000,362 m²,4,4
"Apartamento en Venta y Arriendo, MIRAMAR, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-el-tabor-3-habitaciones-2-banos-1-garajes/9851-100166,$195.000.000,82 m²,3,2
"Apartamento en Venta, San Vicente, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-san-vicente-3-habitaciones-4-banos-4-garajes/10338-3398645,$1.200.000.000,230 m²,3,4
"Apartamento en Venta, ALTOS DE BUENAVISTA, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-ub.-altos-de-parque-3-habitaciones-3-banos-2-garajes/11328-M2755141,$540.000.000,122 m²,3,3
"Apartamento en Venta, San Vicente, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-san-vicente-3-habitaciones-3-banos-1-garajes/2969-4052,$270.000.000,90 m²,3,3
"Apartamento en Venta, Villa Campestre, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-conjunto-residencial-ciudad-del-mar-3-habitaciones-2-banos-1-garajes/9851-13863,$360.000.000,106 m²,3,2
"Apartamento en Venta, Alto Prado, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-prado-3-habitaciones-3-banos-2-garajes/130-3374,$1.350.000.000,330 m²,3,3
"Apartamento en Venta, America, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-america-3-habitaciones-2-banos-1-garajes/11295-M2619674,$173.800.000,86 m²,3,2
"Apartamento en Venta, UB. ALTOS DE PARQUE, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-ub.-altos-de-parque-3-habitaciones-5-banos-4-garajes/10338-2710955,$1.730.000.000,300 m²,3,5
"Casa en Venta, La Castellana, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-ub.-altos-de-parque-3-habitaciones-5-banos-1-garajes/10338-3384411,$870.000.000,230 m²,3,5
"Casa en Venta, VILLA DEL ESTE, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-villa-del-este-3-habitaciones-5-banos-3-garajes/11832-M2818640,$550.000.000,209.46 m²,3,5
"Apartamento en Venta, El Tabor, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-el-tabor-3-habitaciones-2-banos/2398-18649,$220.000.000,100 m²,3,2
"Apartamento en Venta, ALTOS DE SAN VICENTE, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altamira-3-habitaciones-3-banos-2-garajes/2398-14095,$350.000.000,165 m²,3,3
"Apartamento en Venta, VILLA DEL ESTE, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-villa-del-este-3-habitaciones-3-banos-2-garajes/2171-13307M1,$510.000.000,145 m²,3,3
"Apartamento en Venta, EL GOLF, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-prado-3-habitaciones-3-banos-2-garajes/2171-13383M1,$580.000.000,240 m²,3,3
"Apartamento en Venta, ALTO PRADO, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-prado-3-habitaciones-3-banos-3-garajes/2171-13638,$1.800.000.000,381 m²,3,3
"Apartamento en Venta, Altos de Riomar, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-de-riomar-4-habitaciones-4-banos/671-75677,$620.000.000,310 m²,4,4
"Apartamento en Venta, Ciudad Jardin, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-ciudad-jardin-3-habitaciones-2-banos-1-garajes/671-77349,$220.000.000,90 m²,3,2
"Apartamento en Venta, Bellavista, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-san-francisco-3-habitaciones-2-banos-1-garajes/671-73193,$326.726.964,79 m²,3,2
"Casa en Venta, VILLA SANTOS, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-villa-santos-3-habitaciones-4-banos-2-garajes/671-65889,$620.000.000,217 m²,3,4
"Apartamento en Venta, Bellavista, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-san-francisco-2-habitaciones-2-banos-1-garajes/671-73189,$270.622.796,66 m²,2,2
"Apartamento en Venta, Bellavista, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-san-francisco-2-habitaciones-2-banos-1-garajes/671-73155,$269.090.304,64 m²,2,2
"Apartamento en Venta, Bellavista, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-san-francisco-3-habitaciones-2-banos-1-garajes/671-73195,$397.441.866,98 m²,3,2
"Apartamento en Venta y Arriendo, Altamira, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altamira-2-habitaciones-2-banos-1-garajes/9851-13625,$330.000.000,76 m²,2,2
"Apartamento en Venta, Altos de Riomar, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-de-riomar-3-habitaciones-2-banos-1-garajes/130-1469,$270.000.000,110 m²,3,2
"Casa en Venta, Los Nogales, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-la-cumbre-5-habitaciones-5-banos-2-garajes/130-1361,$850.000.000,602 m²,5,5
"Apartamento en Venta, ALTOS DEL PRADO, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-prado-3-habitaciones-4-banos-2-garajes/10338-570720,$890.000.000,0 m²,3,4
"Casa en Venta, La Concepción, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-la-concepcion-3-habitaciones-3-banos-2-garajes/2969-1234,$550.000.000,153 m²,3,3
"Apartamento en Venta, Bellavista, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-san-francisco-3-habitaciones-2-banos-1-garajes/671-73190,$320.357.380,78 m²,3,2
"Apartamento en Venta, ALTO PRADO, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-prado-3-habitaciones-5-banos-1-garajes/130-1367,$650.000.000,238 m²,3,5
"Apartamento en Venta y Arriendo, Alto Prado, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-prado-3-habitaciones-3-banos-1-garajes/2398-22263,$290.000.000,145 m²,3,3
"Apartamento en Venta, Villa Country, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-villa-country-3-habitaciones-2-banos-2-garajes/2398-21696,$320.000.000,98 m²,3,2
"Apartamento en Venta, Alto Prado, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-prado-3-habitaciones-5-banos-2-garajes/2398-21127,$700.000.000,272 m²,3,5
"Apartamento en Venta, Miramar, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-el-tabor-3-habitaciones-2-banos-1-garajes/9851-100035,$245.000.000,94 m²,3,2
"Casa en Venta, Pasatiempo, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-pasatiempo-5-habitaciones-5-banos/11295-M2619696,$512.000.000,550 m²,5,5
"Apartamento en Venta, Río Alto, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-villa-carolina-3-habitaciones-3-banos-2-garajes/2230-6846,$495.000.000,111 m²,3,3
"Apartamento en Venta, Villa Country, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-villa-country-3-habitaciones-3-banos-1-garajes/2230-6884,$290.000.000,103 m²,3,3
"Casa en Venta, LAS PALMAS, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-las-palmas-4-habitaciones-2-banos-1-garajes/671-82694,$310.000.000,98 m²,4,2
"Apartamento en Venta, SAN FRANCISCO, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-batallon-infanteria-3-habitaciones-1-banos-1-garajes/671-80644,$150.000.000,82 m²,3,1
"Casa en Venta, Merced, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-mercedes-sur-4-habitaciones-2-banos/671-76923,$370.000.000,187 m²,4,2
"Apartamento en Venta, ALTO PRADO, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-prado-2-habitaciones-2-banos-1-garajes/671-82262,$260.000.000,83 m²,2,2
"Lote o Casalote en Venta y Arriendo, ALTO PRADO, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-lote-o-casalote-barranquilla-altos-del-prado/671-80146,$2.000.000.000,80 m²,,
"Casa en Venta, LUCERO, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-lucero-4-habitaciones-3-banos-1-garajes/671-82033,$370.000.000,132 m²,4,3
"Casa en Venta, SANTANA, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-santana-5-habitaciones-4-banos-1-garajes/10926-2794295,$695.000.000,250 m²,5,4
"Casa en Venta, Villa Carolina, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-villa-carolina-3-habitaciones-2-banos/11295-M2619684,$295.700.000,94 m²,3,2
"Apartamento en Venta, ALTOS DEL PRADO, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-prado-3-habitaciones-5-banos-2-garajes/10338-2893090,$710.000.000,298 m²,3,5
"Apartamento en Venta, VILLA CAMPESTRE, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-conjunto-residencial-villa-campestre-3-habitaciones-2-banos-2-garajes/9877-M2711478,$410.000.000,105 m²,3,2
"Apartamento en Venta, San Isidro, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-san-isidro-3-habitaciones-2-banos-1-garajes/9851-12893,$160.000.000,61 m²,3,2
"Casa en Venta, Villa Santos, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-villa-santos-2-habitaciones-4-banos-1-garajes/130-3084,$450.000.000,120 m²,2,4
"Apartamento en Venta, EL RECREO, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-el-recreo-4-habitaciones-2-banos-1-garajes/671-82943,$250.000.000,90 m²,4,2
"Casa en Venta, EL PORVENIR, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-el-porvenir-5-habitaciones-4-banos-1-garajes/387-M2818945,$490.000.000,175 m²,5,4
"Casa en Venta, El Golf, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-el-golf-4-habitaciones-5-banos-2-garajes/130-3560,$2.500.000.000,509 m²,4,5
"Apartamento en Venta, Granadillo, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altamira-2-habitaciones-2-banos-1-garajes/130-3379,$285.000.000,0 m²,2,2
"Apartamento en Venta, La Concepción, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-la-concepcion-3-habitaciones-2-banos-1-garajes/130-3504,$255.000.000,87 m²,3,2
"Apartamento en Venta y Arriendo, Granadillo, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-granadillo-2-habitaciones-2-banos-1-garajes/130-2197,$290.000.000,86 m²,2,2
"Apartamento en Venta, ALTO PRADO, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-alto-prado-4-habitaciones-3-banos/11295-M2619689,$356.700.000,128 m²,4,3
"Casa en Venta, EL PARAISO, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-el-paraiso-3-habitaciones-2-banos/11295-M2619691,$424.559.000,162 m²,3,2
"Casa en Venta y Arriendo, LA CAMPIÑA, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-la-campina-5-habitaciones-3-banos/671-83238,$1.500.000.000,347 m²,5,3
"Apartamento en Venta, LUCERO, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-lucero-3-habitaciones-2-banos/710-M2818532,$250.000.000,100 m²,3,2
"Apartamento en Venta, LUCERO, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-lucero-3-habitaciones-2-banos-1-garajes/710-M2818085,$280.000.000,120 m²,3,2
"Apartamento en Venta, ALTOS DE LIMON, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-limon-3-habitaciones-4-banos-2-garajes/9889-M2818238,$580.000.000,170 m²,3,4
"Apartamento en Venta, Paraíso, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-batallon-infanteria-2-habitaciones-2-banos-1-garajes/2361-94732,$245.000.000,58 m²,2,2
